City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
177,Taoudenni,22.6783,-3.9836,106.83,7,98,11.88,ML,overcast clouds,2022-06-29 19:58:35
178,Faanui,-16.4833,-151.75,79.29,74,5,18.45,PF,light rain,2022-06-29 19:58:35
179,Crotone,39.0851,17.1178,78.26,74,0,4.29,IT,clear sky,2022-06-29 19:58:36
180,Okhotsk,59.3833,143.3,51.01,95,100,2.86,RU,overcast clouds,2022-06-29 19:58:36
181,Rio Grande,-32.035,-52.0986,64.51,75,0,7.25,BR,clear sky,2022-06-29 19:58:37
182,Mount Gambier,-37.8333,140.7667,44.51,93,100,3.44,AU,fog,2022-06-29 19:58:37
183,Dera Bugti,29.0307,69.151,90.59,46,4,8.55,PK,clear sky,2022-06-29 19:58:37
184,Pospelikha,51.95,81.7667,54.97,78,100,14.12,RU,overcast clouds,2022-06-29 19:58:38
185,Juneau,58.3019,-134.4197,64.09,100,100,1.92,US,overcast clouds,2022-06-29 19:55:26
186,Sola,-13.8833,167.55,80.62,78,29,21.99,VU,scattered clouds,2022-06-29 19:58:38
187,Turtas,58.9417,69.1325,48.97,70,56,13.8,RU,broken clouds,2022-06-29 19:58:38
188,Bandarbeyla,9.4942,50.8122,77.58,78,27,31.38,SO,scattered clouds,2022-06-29 19:58:39
189,Vao,-22.6667,167.4833,70.38,60,2,14.47,NC,clear sky,2022-06-29 19:58:39
190,Aden,12.7794,45.0367,87.04,75,3,6.17,YE,clear sky,2022-06-29 19:56:38
191,Mananara,-16.1667,49.7667,68.07,82,71,9.24,MG,light rain,2022-06-29 19:58:40
192,Nikolayevsk-Na-Amure,53.1406,140.73,54.39,88,0,2.71,RU,clear sky,2022-06-29 19:58:40
193,Kaitangata,-46.2817,169.8464,42.67,81,100,6.73,NZ,overcast clouds,2022-06-29 19:58:40
194,Ponta Delgada,37.7333,-25.6667,66.92,77,20,6.91,PT,few clouds,2022-06-29 19:58:41
195,Sri Aman,1.2376,111.4621,73.45,100,99,1.14,MY,overcast clouds,2022-06-29 19:58:41
196,Mtwara,-10.2667,40.1833,68.85,88,84,8.52,TZ,broken clouds,2022-06-29 19:58:41
197,Akonolinga,3.7667,12.25,68.16,97,88,1.83,CM,light rain,2022-06-29 19:58:42
198,Adrar,20.5022,-10.0711,97.45,14,0,9.8,MR,clear sky,2022-06-29 19:58:42
199,Mitu,1.1983,-70.1733,81.36,81,61,2.15,CO,broken clouds,2022-06-29 19:58:43
200,Vardo,70.3705,31.1107,53.58,87,0,8.05,NO,clear sky,2022-06-29 19:58:43
201,Cabo San Lucas,22.8909,-109.9124,92.61,63,14,3.0,MX,few clouds,2022-06-29 19:58:43
202,Dzhebariki-Khaya,62.2167,135.8,61.83,93,100,2.44,RU,light rain,2022-06-29 19:58:44
203,Tazovskiy,67.4667,78.7,50.07,54,99,19.93,RU,overcast clouds,2022-06-29 19:58:44
204,Lao Cai,22.4833,103.95,76.19,98,96,1.23,VN,overcast clouds,2022-06-29 19:53:54
205,Qaqortoq,60.7167,-46.0333,41.29,91,100,1.16,GL,overcast clouds,2022-06-29 19:58:44
206,Puerto Ayora,-0.7393,-90.3518,78.76,87,82,5.99,EC,broken clouds,2022-06-29 19:58:45
