City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Bonavista,CA,2022-06-29 15:56:12,48.6499,-53.1147,58.6,93,100,9.06
128,Ostrovnoy,RU,2022-06-29 15:56:13,68.0531,39.5131,61.56,65,83,7.99
129,Sao Filipe,CV,2022-06-29 15:56:13,14.8961,-24.4956,75.76,72,79,14.45
130,Esperance,AU,2022-06-29 15:56:13,-33.8667,121.9,55.72,73,99,9.33
131,Saint-Joseph,RE,2022-06-29 15:56:14,-21.3667,55.6167,68.38,70,69,12.46
132,Beloslav,BG,2022-06-29 15:56:14,43.1833,27.7,86.2,65,0,10.36
133,Tiksi,RU,2022-06-29 15:56:15,71.6872,128.8694,49.42,51,60,11.3
134,Kedrovyy,RU,2022-06-29 15:56:15,56.1667,91.8167,59.41,84,11,5.53
135,Gouyave,GD,2022-06-29 15:56:15,12.1646,-61.7296,83.17,79,40,27.63
136,Daura,NG,2022-06-29 15:56:16,11.5538,11.4085,87.66,45,86,6.17
137,Sistranda,NO,2022-06-29 15:56:16,63.7256,8.834,67.96,83,79,22.97
138,Mugur-Aksy,RU,2022-06-29 15:56:17,50.35,90.5,57.16,62,22,3.36
139,Kenai,US,2022-06-29 15:52:21,60.5544,-151.2583,57.15,90,20,8.05
140,Srednekolymsk,RU,2022-06-29 15:56:17,67.45,153.6833,45.54,86,90,4.81
141,Whitianga,NZ,2022-06-29 15:56:18,-36.8333,175.7,51.82,91,99,10.96
142,Darhan,MN,2022-06-29 15:56:18,49.4867,105.9228,64.65,79,36,2.37
143,Kirakira,SB,2022-06-29 15:56:18,-10.4544,161.9205,80.06,85,38,11.36
144,Uppsala,SE,2022-06-29 15:56:19,60.0,17.75,69.31,88,40,4.61
145,Brazzaville,CG,2022-06-29 15:56:19,-4.2658,15.2832,82.76,61,100,4.61
146,Narsaq,GL,2022-06-29 15:56:19,60.9167,-46.05,40.86,95,100,4.29
147,Pedro Ii,BR,2022-06-29 15:56:20,-4.4247,-41.4586,87.22,39,96,7.47
148,Winnemucca,US,2022-06-29 15:56:20,40.973,-117.7357,76.87,18,13,3.94
149,Barrow,US,2022-06-29 15:52:08,71.2906,-156.7887,48.22,93,100,16.11
150,Anadyr,RU,2022-06-29 15:56:21,64.75,177.4833,48.7,81,0,17.9
151,Cuamba,MZ,2022-06-29 15:56:21,-14.8031,36.5372,65.46,79,89,4.09
152,Aguimes,ES,2022-06-29 15:56:22,27.9054,-15.4461,74.03,47,40,33.38
153,Cotusca,RO,2022-06-29 15:56:22,48.1333,26.85,93.58,28,36,6.11
154,Bethel,US,2022-06-29 15:54:53,41.3712,-73.414,82.35,51,6,1.99
155,Nome,US,2022-06-29 15:56:22,64.5011,-165.4064,46.17,98,99,2.73
156,Sibolga,ID,2022-06-29 15:56:23,1.7427,98.7792,75.63,90,99,2.06
157,Qaanaaq,GL,2022-06-29 15:56:23,77.484,-69.3632,46.89,47,52,4.9
158,Lashio,MM,2022-06-29 15:56:24,22.9333,97.75,69.35,98,99,1.01
159,Mackay,AU,2022-06-29 15:55:10,-21.15,149.2,65.68,84,98,11.07
160,Omboue,GA,2022-06-29 15:56:24,-1.5746,9.2618,74.32,83,54,10.25
161,Chapais,CA,2022-06-29 15:56:24,49.7834,-74.8492,53.38,44,38,8.39
162,George,ZA,2022-06-29 15:56:25,-33.963,22.4617,71.15,35,0,4.61
163,Fomboni,KM,2022-06-29 15:56:25,-12.28,43.7425,76.12,65,50,11.32
164,Seydi,TM,2022-06-29 15:56:25,39.4816,62.9137,103.1,16,0,15.35
165,Maragogi,BR,2022-06-29 15:56:26,-9.0122,-35.2225,79.32,72,54,12.03
166,Sinnai,IT,2022-06-29 15:56:26,39.3042,9.2036,84.51,45,0,10.36
167,Hervey Bay,AU,2022-06-29 15:56:26,-25.2986,152.8535,63.09,82,97,7.31
168,Labuhan,ID,2022-06-29 15:56:27,-6.8844,112.2051,76.28,77,69,11.14
169,Kodiak,US,2022-06-29 15:56:28,57.79,-152.4072,54.88,84,36,1.9
170,Udon Thani,TH,2022-06-29 15:56:28,17.3333,102.8333,85.91,70,0,2.3
171,Mukhen,RU,2022-06-29 15:56:29,48.1,136.1,63.72,96,56,0.54
172,Suhbaatar,MN,2022-06-29 15:56:29,50.2314,106.2078,64.96,78,23,5.95
173,Namibe,AO,2022-06-29 15:56:29,-15.1961,12.1522,74.03,78,20,17.27
174,Bud,US,2022-06-29 15:56:30,39.447,-86.1758,81.19,43,0,4.47
175,Keti Bandar,PK,2022-06-29 15:56:30,24.1447,67.4497,85.77,81,98,18.84
176,Nishihara,JP,2022-06-29 15:56:30,26.1842,127.7558,81.68,89,20,9.22
